MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
4,8,3,ICT,IAH,-16.0,9.0,542,0,2015
4,2,4,GSO,ORD,53.0,27.0,589,1,2015
4,12,7,EUG,DEN,-9.0,9.0,996,0,2015
4,9,4,PHX,SAT,-5.0,18.0,843,0,2015
4,17,5,SAT,ELP,-1.0,9.0,496,0,2015
4,7,2,HOU,BNA,3.0,9.0,670,0,2015
4,17,5,LBB,AUS,-5.0,8.0,341,0,2015
4,15,3,DCA,BOS,-12.0,19.0,399,0,2015
4,7,2,HNL,LAX,-1.0,16.0,2556,0,2015
4,3,5,SJU,DCA,-1.0,16.0,1554,0,2015
4,15,3,MCO,ACY,-2.0,25.0,852,0,2015
4,6,1,ORD,CMH,-1.0,20.0,296,0,2015
4,19,7,SLC,PDX,-13.0,15.0,630,0,2015
4,28,2,PDX,SNA,-6.0,9.0,859,0,2015
4,8,3,DEN,DFW,1.0,21.0,641,0,2015
4,26,7,ATL,DAL,1.0,18.0,721,0,2015
4,24,5,OKC,DEN,22.0,10.0,495,0,2015
4,26,7,ILM,ATL,-9.0,11.0,377,0,2015
4,1,3,ATL,SAV,3.0,17.0,214,0,2015
4,1,3,CLT,MSY,-4.0,15.0,651,0,2015
4,28,2,OMA,ORD,-12.0,20.0,416,0,2015
4,24,5,BUR,PHX,3.0,12.0,369,0,2015
4,3,5,IAH,PBI,0.0,19.0,956,0,2015
4,14,2,EWR,ATL,-5.0,29.0,746,0,2015
4,24,5,DCA,TPA,-5.0,15.0,814,0,2015
4,19,7,DEN,LIT,-6.0,11.0,771,0,2015
4,25,6,ATL,CMH,-4.0,20.0,447,0,2015
4,24,5,ATL,LGA,74.0,22.0,762,1,2015
4,23,4,SAN,DTW,-7.0,33.0,1956,0,2015
4,25,6,EWR,LAX,1.0,10.0,2454,0,2015
4,24,5,SLC,SEA,623.0,11.0,689,1,2015
4,21,2,SNA,DFW,11.0,10.0,1205,0,2015
4,13,1,DFW,COS,127.0,11.0,592,1,2015
4,2,4,ATL,TPA,16.0,19.0,406,1,2015
4,14,2,FLL,LAS,-3.0,19.0,2173,0,2015
4,30,4,ATL,CMH,-5.0,11.0,447,0,2015
4,12,7,JFK,MCO,19.0,31.0,944,1,2015
4,22,3,ORD,AZO,-5.0,12.0,122,0,2015
4,23,4,DFW,CLL,-4.0,19.0,164,0,2015
4,15,3,LAX,EWR,10.0,7.0,2454,1,2015
4,5,7,TLH,ATL,-4.0,9.0,223,0,2015
4,18,6,MSP,ATL,-3.0,8.0,907,0,2015
4,2,4,DEN,STL,0.0,16.0,770,0,2015
4,29,3,JAX,ATL,-1.0,11.0,270,0,2015
4,6,1,DFW,MIA,-4.0,15.0,1121,0,2015
4,27,1,PWM,ATL,-2.0,15.0,1027,0,2015
4,4,6,MSP,PDX,-8.0,15.0,1426,0,2015
4,20,1,IAH,SAN,19.0,24.0,1303,1,2015
4,7,2,ATL,MSN,0.0,24.0,707,0,2015
4,18,6,ORD,MIA,-9.0,16.0,1197,0,2015
4,10,5,PHX,DEN,29.0,10.0,602,1,2015
4,23,4,IAH,LFT,-4.0,30.0,201,0,2015
4,2,4,KOA,HNL,-4.0,8.0,163,0,2015
4,22,3,EUG,SLC,-5.0,19.0,618,0,2015
4,22,3,ONT,SFO,-10.0,13.0,363,0,2015
4,15,3,MCI,SFO,7.0,15.0,1499,0,2015
4,24,5,BOS,PHL,-7.0,20.0,280,0,2015
4,5,7,SLC,MCI,-9.0,18.0,920,0,2015
4,6,1,ONT,IAH,-5.0,22.0,1334,0,2015
4,23,4,ATL,HPN,-2.0,25.0,780,1,2015
4,4,6,PNS,IAH,3.0,14.0,489,0,2015
4,30,4,DAL,DCA,2.0,10.0,1184,0,2015
4,6,1,AGS,ATL,-9.0,41.0,143,1,2015
4,26,7,ORD,ATL,16.0,18.0,606,1,2015
4,13,1,STL,PHX,39.0,14.0,1262,1,2015
4,11,6,IND,ATL,10.0,11.0,432,0,2015
4,20,1,LNK,DEN,3.0,10.0,423,0,2015
4,21,2,SLC,DEN,-3.0,14.0,391,0,2015
4,13,1,PHX,ORD,14.0,22.0,1440,0,2015
4,27,1,DFW,DTW,-4.0,20.0,986,0,2015
4,29,3,LAX,SFO,-7.0,17.0,337,0,2015
4,23,4,IAH,BTR,-4.0,11.0,253,0,2015
4,8,3,BUF,BWI,-4.0,8.0,281,0,2015
4,16,4,PHL,STL,8.0,45.0,814,0,2015
4,18,6,LAX,SEA,8.0,15.0,954,0,2015
4,26,7,ATL,CID,-1.0,20.0,694,0,2015
4,22,3,SLC,MSP,7.0,24.0,991,1,2015
4,29,3,SFO,JFK,-6.0,25.0,2586,0,2015
4,23,4,LGB,SEA,-3.0,14.0,965,0,2015
4,30,4,MSP,MSN,-5.0,22.0,228,0,2015
4,21,2,LAS,LAX,4.0,12.0,236,0,2015
4,11,6,MCO,JFK,19.0,14.0,944,0,2015
4,27,1,TPA,BHM,-4.0,13.0,459,0,2015
4,27,1,RDU,SFO,1.0,9.0,2400,0,2015
4,29,3,EWR,XNA,-9.0,14.0,1131,0,2015
4,29,3,SLC,RNO,-5.0,15.0,422,0,2015
4,23,4,IAH,PHX,-5.0,18.0,1009,0,2015
4,21,2,BUF,ORD,-4.0,10.0,473,0,2015
4,30,4,TPA,DTW,-2.0,10.0,983,0,2015
4,30,4,IAH,HRL,-5.0,13.0,295,0,2015
4,11,6,PHL,SJU,-1.0,23.0,1576,0,2015
4,13,1,LAX,DFW,-8.0,15.0,1235,1,2015
4,21,2,TUL,ORD,-7.0,15.0,585,0,2015
4,29,3,ORF,EWR,12.0,16.0,284,0,2015
4,2,4,KOA,SFO,-9.0,14.0,2367,0,2015
4,2,4,HOU,CRP,-5.0,7.0,187,0,2015
4,17,5,DCA,DAL,-3.0,13.0,1184,0,2015
4,26,7,DEN,BIL,-6.0,22.0,455,0,2015
4,4,6,GEG,PHX,-11.0,10.0,1020,0,2015
4,30,4,MFE,IAH,-10.0,10.0,316,0,2015
4,7,2,LGA,SAV,2.0,39.0,722,0,2015
4,9,4,PHL,MYR,-4.0,14.0,473,0,2015
4,13,1,TPA,PIT,-7.0,7.0,873,0,2015
4,20,1,SLC,LAS,-5.0,11.0,368,0,2015
4,20,1,FAT,LAX,15.0,10.0,209,0,2015
4,12,7,SAN,LAX,4.0,21.0,109,0,2015
4,4,6,SEA,ABQ,-6.0,11.0,1180,0,2015
4,26,7,LAS,PHX,-4.0,14.0,255,0,2015
4,10,5,SJU,FLL,-1.0,15.0,1046,0,2015
4,27,1,IDA,SLC,-1.0,17.0,188,0,2015
4,19,7,ORD,MSY,-7.0,15.0,837,0,2015
4,10,5,BDL,MCO,-2.0,9.0,1050,0,2015
4,5,7,DCA,BOS,0.0,21.0,399,0,2015
4,9,4,ORD,SFO,77.0,34.0,1846,1,2015
4,27,1,ATL,PBI,0.0,22.0,545,0,2015
4,19,7,SLC,LAS,-1.0,23.0,368,0,2015
4,5,7,MSP,DEN,-6.0,16.0,680,0,2015
4,7,2,ORD,DCA,-7.0,33.0,612,0,2015
4,2,4,SFO,SEA,0.0,11.0,679,0,2015
4,24,5,MDW,LAS,-4.0,28.0,1521,0,2015
4,27,1,PBI,DCA,12.0,11.0,857,0,2015
4,17,5,MEM,IAH,-4.0,28.0,468,1,2015
4,29,3,SAT,SLC,-8.0,9.0,1087,0,2015
4,15,3,DEN,LAS,21.0,9.0,628,0,2015
4,25,6,BFL,IAH,25.0,20.0,1428,1,2015
4,4,6,PHL,PBI,-8.0,58.0,951,1,2015
4,16,4,GEG,SEA,-9.0,12.0,224,0,2015
