FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
3415,1,2,5,0.0,8.0,888,0,2015
3416,1,30,5,-4.0,17.0,731,0,2015
3417,1,3,6,6.0,9.0,1226,0,2015
3418,1,30,5,-6.0,17.0,1635,0,2015
3419,1,28,3,-11.0,12.0,134,0,2015
3420,1,31,6,-4.0,17.0,629,0,2015
3421,1,25,7,-3.0,15.0,134,0,2015
3422,1,14,3,-5.0,32.0,226,0,2015
3423,1,2,5,18.0,9.0,304,1,2015
3424,1,15,4,-8.0,8.0,1476,0,2015
3425,1,29,4,39.0,23.0,802,1,2015
3426,1,13,2,2.0,8.0,391,0,2015
3427,1,26,1,-4.0,68.0,620,1,2015
3428,1,26,1,-4.0,15.0,481,0,2015
3429,1,23,5,46.0,17.0,192,1,2015
3430,1,30,5,-2.0,9.0,1045,0,2015
3431,1,13,2,-3.0,22.0,936,0,2015
3432,1,3,6,-1.0,22.0,405,0,2015
3433,1,8,4,33.0,25.0,283,1,2015
3434,1,1,4,3.0,12.0,304,0,2015
3435,1,7,3,57.0,11.0,328,1,2015
3436,1,26,1,-4.0,5.0,109,0,2015
3437,1,17,6,-4.0,9.0,696,0,2015
3438,1,24,6,39.0,22.0,760,1,2015
3439,1,30,5,16.0,16.0,2640,0,2015
3440,1,26,1,-16.0,8.0,1119,0,2015
3441,1,20,2,-9.0,11.0,396,0,2015
3442,1,5,1,15.0,12.0,2158,1,2015
3443,1,9,5,-4.0,18.0,1091,0,2015
3444,1,23,5,0.0,13.0,628,0,2015
3445,1,22,4,-1.0,12.0,581,0,2015
3446,1,16,5,-2.0,11.0,844,0,2015
3447,1,27,2,-5.0,10.0,399,0,2015
3448,1,27,2,-13.0,10.0,456,0,2015
3449,1,8,4,45.0,11.0,1197,1,2015
3450,1,16,5,14.0,14.0,1107,0,2015
3451,1,1,4,8.0,21.0,1136,1,2015
3452,1,30,5,8.0,7.0,1618,0,2015
3453,1,30,5,-10.0,29.0,1188,1,2015
3454,1,24,6,3.0,23.0,1571,0,2015
3455,1,15,4,9.0,14.0,1276,0,2015
3456,1,5,1,26.0,12.0,991,1,2015
3457,1,15,4,-13.0,12.0,1437,0,2015
3458,1,29,4,-6.0,13.0,201,0,2015
3459,1,15,4,-2.0,11.0,448,0,2015
